"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"coEnergy [J_per_m3]"	"Br []"	"Bt []"
1	2000000000	152.544546	-0.0367678099555977	0.134418590887378	5897.00171389621	-0.123348515928244	0.0257879698699569
1	2000000000	153.058164	-0.0368436041864029	0.184914144928286	13570.6205915036	-0.171930884474568	-0.0182965580888757
1	2000000000	153.571782	-0.036952755175557	0.219057627029426	19458.0054663763	-0.225406821094344	-0.00688234234603367
1	2000000000	154.0854	-0.0370719329829933	0.239754587790255	22731.7887518428	-0.238642198578413	0.00239205499066571
1	2000000000	154.599018	-0.0371978689154615	0.248982311481862	24545.7951282339	-0.251722420412254	0.011623402741588
1	2000000000	155.112636	-0.0373213506378969	0.247767983013321	23909.6617741266	-0.233583804272633	0.00264431758833266
1	2000000000	155.626254	-0.0374408506958916	0.229235332212611	21030.388371539	-0.231756618900143	0.000194445603599256
1	2000000000	156.139872	-0.0375594290977623	0.192816236196824	16210.3482843913	-0.229995537387127	-0.00243264376159303
1	2000000000	156.65349	-0.0376398565338372	0.0956583516971151	4576.37731575107	-0.077655943740422	0.0256548119378603
1	2000000000	157.167108	-0.0376651659681522	0.0175764989043173	-197.773908406139	-0.0209584116280421	0.00668511005636211
1	2000000000	157.680726	-0.0376654806179968	0.034519816262146	624.466644918693	0.0292732864654361	-0.00415880008128064
1	2000000000	158.194344	-0.0376310294205513	0.107541740250355	4467.64242251145	0.104846010969533	-0.0154657490590149
1	2000000000	158.707962	-0.0375578239516301	0.173447177781779	12002.030325955	0.180159927239985	-0.0325433252258725
1	2000000000	159.22158	-0.0374531647703452	0.210549380890872	17710.6993887432	0.209220510782201	0.0157641649737694
1	2000000000	159.735198	-0.0373442846526108	0.214918025791914	18391.0582718155	0.214720964996589	0.00383763720879347
1	2000000000	160.248816	-0.0372326324193075	0.21993335313186	19252.5908776987	0.220015471952318	-0.00788384766022566
1	2000000000	160.762434	-0.0371175504526836	0.222062500936747	19452.1819097033	0.2263983656523	0.0282055986089061
1	2000000000	161.276052	-0.037005464851191	0.210519416029251	17457.349930765	0.20998183091189	0.00268249022747887
1	2000000000	161.78967	-0.036901930210884	0.190147699136207	14886.0144075268	0.193101959147392	-0.0227772501842809
1	2000000000	162.303288	-0.0368095644832854	0.161213910284942	10818.1468533544	0.145124996065001	0.0184962202993706
1	2000000000	162.816906	-0.0367493723567027	0.0959905535951298	3788.61464459491	0.0892619292464844	0.0187444226528639
1	2000000000	163.330524	-0.0367178657876571	0.0340383795687348	272.904012846435	0.0334318439717991	0.0209737314322207
1	2000000000	163.844142	-0.0367150364786798	0.0217261874978406	197.13780362258	-0.0235370668317691	-0.00190816533244585
1	2000000000	164.35776	-0.0367321791491595	0.0424023925674826	718.873900298562	-0.0432111842418136	-8.0377469375948E-05
1	2000000000	164.871378	-0.0367594187236857	0.0636763364760934	1606.49060197572	-0.062854444728371	0.00159518174664629
1	2000000000	165.384996	-0.036796741134196	0.0847521736983634	2872.37468497918	-0.0824735167539951	0.00311828951766117
1	2000000000	165.898614	-0.0368427498155473	0.0854692614522644	2852.57140171893	-0.0864641042075674	-0.00235275880869848
1	2000000000	166.412232	-0.0368848077578455	0.076846675804016	2396.24116668681	-0.0773073519033579	-0.00175285824157383
1	2000000000	166.92585	-0.0369221614813782	0.0635195210446313	1739.31692601617	-0.0681469505994831	-0.0013512410246353
1	2000000000	167.439468	-0.0369428781153258	0.0604419633409798	-2784.29707790442	-0.0105437084326541	0.00563847702422078
1	2000000000	167.953086	-0.0369342921752296	0.0569924373883061	2070.48907371565	0.044089010392429	0.0408387903023664
1	2000000000	168.466704	-0.0368974720698016	0.16389242376914	20958.5349942631	0.0994009220130315	0.0772524602443523
1	2000000000	168.980322	-0.0367713747994023	0.320796875664051	52349.3971028039	0.372010058475594	0.134959542792975
1	2000000000	169.49394	-0.0365573403835299	0.462263529954922	83953.169108158	0.461021677516645	0.00122302263062865
1	2000000000	170.007558	-0.0362982364681805	0.549861879934156	114367.446078308	0.547483609580271	-0.139487507915449
1	2000000000	170.521176	-0.0360064390694826	0.569015862138633	129267.1536231	0.563189760928263	-0.0030668976852016
1	2000000000	171.034794	-0.035716815507663	0.564878785031141	126975.496689278	0.564616607447108	0.0011572492962695
1	2000000000	171.548412	-0.0354264265470583	0.56912937309167	128828.596343212	0.566171420591069	0.00578823374423518
1	2000000000	172.06203	-0.0351320743618136	0.579245709057753	133437.688911936	0.5882648754597	0.000483642158907788
1	2000000000	172.575648	-0.0348331320617872	0.576201140350355	131987.03968115	0.575823440013254	0.00320671999523348
1	2000000000	173.089266	-0.0345405544835536	0.558095227259125	124183.480962089	0.563482285409572	0.00625753624752138
1	2000000000	173.602884	-0.0342569691366255	0.507874168755444	103087.009465698	0.499619415656773	0.0370946431749744
1	2000000000	174.116502	-0.0340422610430729	0.338950588192896	46276.2779533942	0.336447317287638	0.0367972412170813
1	2000000000	174.63012	-0.0339113491400482	0.17840186053946	12064.0039160423	0.173331990669525	0.0394085445553818
1	2000000000	175.143738	-0.0338641978222132	0.0284751739712728	331.317251077216	0.0102965955879541	0.0449278168566479
1	2000000000	175.657356	-0.0338920559287847	0.157528023707202	10654.3568115738	-0.136438285664266	0.0684059902073705
1	2000000000	176.170974	-0.0340045209867244	0.316009145761775	39423.8584067239	-0.301410985691829	0.0971415323501816
1	2000000000	176.684592	-0.0342015737307877	0.456794440208158	84790.2425826218	-0.465787476888675	0.135007092859654
1	2000000000	177.19821	-0.0344383094092472	0.390464370173293	59720.9792618628	-0.400227558831544	-0.141561426560239
1	2000000000	177.711828	-0.0346082070811322	0.265413977776752	29091.7495287541	-0.260917982274067	-0.00363176842924072
1	2000000000	178.225446	-0.0347059050944544	0.135479533890368	11130.3168884777	-0.119121010030663	0.124179214807207
1	2000000000	178.739064	-0.0347384460494496	0.13392969517062	-17699.5491617722	0.0526581599403254	-0.0385694610564832
1	2000000000	179.252682	-0.0346345780768477	0.371405051909055	59608.4290881696	0.352348982867025	0.13281075927233
1	2000000000	179.7663	-0.0343759482400727	0.777769012498058	279103.52411127	0.655275153457692	0.301484347943532
1	2000000000	180.279918	-0.0339063530531263	1.05803861085117	456060.706503859	1.08727966292545	0.0304312905076137
1	2000000000	180.793536	-0.0333434929299251	1.10413779481164	485247.872416051	1.10442586350381	0.0080949888082986
1	2000000000	181.307154	-0.0327719121971669	1.12257272291799	498534.557872212	1.12123600785099	-0.0144734256720425
1	2000000000	181.820772	-0.0321956576192364	1.1139647451717	493698.607128163	1.11317819467105	-0.00217149109853879
1	2000000000	182.33439	-0.0316258133364912	1.10504861768843	485783.559119554	1.10581949576374	0.00625148617596036
1	2000000000	182.848008	-0.0310596846774379	1.10533126395361	486566.423451787	1.09871143615865	0.015149942185003
1	2000000000	183.361626	-0.030492778320423	1.11493105989277	494657.967279575	1.12960703670822	0.0549363714695966
1	2000000000	183.875244	-0.0299137382316434	1.12243608909014	500766.664196784	1.1249731415886	-0.008611117483541
1	2000000000	184.388862	-0.0293373690861275	1.12734034896194	508170.12892351	1.11919459070011	-0.0759855994656256
1	2000000000	184.90248	-0.0287609978721418	1.11220879014012	499026.264707125	1.18336985373548	0.350082741813294
1	2000000000	185.416098	-0.0282298330679643	0.879291086042092	308850.928924829	0.884569361529568	0.22075476218517
1	2000000000	185.929716	-0.0278527190558008	0.620652906026788	154016.539727665	0.583548293913369	0.105209165962894
1	2000000000	186.443334	-0.0276307444385547	0.306305958536945	40011.5234348533	0.280508715214407	0.00346380682152119
1	2000000000	186.956952	-0.0275790555351372	0.05274584056412	2753.15778359935	-0.00780943945547695	-0.00973801751755301
1	2000000000	187.47057	-0.0276356978354298	0.214257391984232	19195.3666998691	-0.212619841133894	0.034106686461835
1	2000000000	187.984188	-0.0277973276218543	0.46069964828322	85988.6297698549	-0.4166181530011	0.0790905206852818
1	2000000000	188.497806	-0.0280304026927997	0.343098094759294	50795.2564019857	-0.367256581653194	-0.0287258237691088
1	2000000000	189.011424	-0.0281592569930047	0.151023846326083	8711.7979694944	-0.134565590460132	-0.0505153307021707
1	2000000000	189.525042	-0.0281687303644863	0.0565656817017083	3620.98695587854	0.0975455080969397	-0.0897167027938375
1	2000000000	190.03866	-0.0280457819152786	0.427799548317225	81435.6723707311	0.419086633715584	0.0919862258660085
1	2000000000	190.552278	-0.0277319223868624	0.813967307172087	259320.367435998	0.802451118713933	-0.111789504468072
1	2000000000	191.065896	-0.0272221752713341	1.1375694134879	516002.131007637	1.18175581694705	-0.345836735921871
1	2000000000	191.579514	-0.0265660362324782	1.28640762825868	663197.197872004	1.27177702714806	0.116715513289718
1	2000000000	192.093132	-0.0259166019414923	1.26055804866237	632576.333646901	1.25694072905444	0.0605373947214435
1	2000000000	192.60675	-0.0252750230578412	1.23896266922241	609571.469412594	1.24121092927048	0.0113466381241843
1	2000000000	193.120368	-0.0246421177611675	1.22422430964374	596339.499449581	1.22395973758586	-0.00113412489313376
1	2000000000	193.633986	-0.0240153366553845	1.21622361788834	588535.750403843	1.21674030813778	0.00429158730250848
1	2000000000	194.147604	-0.0233922123589118	1.212832560678	585411.074551109	1.20972105588955	0.00989889435534079
1	2000000000	194.661222	-0.0227697727588123	1.20637047451661	578846.335787296	1.2314750926082	0.0156422128890595
1	2000000000	195.17484	-0.0221454456360894	1.18592613526975	558245.430511204	1.19965040933951	0.0153516910611276
1	2000000000	195.688458	-0.021537439900556	1.19855915864606	575634.806152271	1.16792316969536	0.0157825355632523
