"Time [s]"	"Pro [W]"
0.577	98.4889159086044
0.578	97.6376888833955
0.579	97.525659271432
0.58	98.2258640834061
0.581	99.0098372590487
0.582	98.9217096226594
0.583	98.0273477569485
0.584	97.3784776642632
0.585	97.6360737711662
0.586	98.4977242131544
0.587	98.9960433410241
0.588	98.5554008429347
0.589	97.7327468000976
0.59	97.4564126471379
0.591	98.0702661626902
0.592	98.9466348226364
0.593	99.070810557422
0.594	98.2645155526818
0.595	97.5113881079868
0.596	97.6337417929894
0.597	98.4619314520181
0.598	99.098107814859
0.599	98.7434020182219
0.6	97.8568864314609
0.601	97.4646073759512
0.602	97.9455449887092
0.603	98.8208446616882
0.604	99.0684006676564
0.605	98.3362732985124
0.606	97.5184690300769
0.607	97.5145514920342
0.608	98.3088499786112
0.609	99.0613338790134
0.61	98.922544483712
0.611	98.0533827351665
0.612	97.4913034421209
0.613	97.8433105037473
0.614	98.7004221811944
0.615	99.1027005138662
0.616	98.5064279202652
0.617	97.6333070579663
0.618	97.4359493474724
0.619	98.1033528723541
0.62	98.907528036321
0.621	98.8782543032245
0.622	98.0261913818447
0.623	97.3751287917881
0.624	97.6402755072913
0.625	98.5421920342026
0.626	99.1256454910178
0.627	98.7262104740669
0.628	97.884870143372
0.629	97.5768354647251
0.63	98.1159377495144
0.631	98.9213314948445
0.632	99.0110186511984
0.633	98.2216315531499
0.634	97.4841086074878
0.635	97.5451461292566
0.636	98.3485304559231
0.637	99.0128555329676
0.638	98.7501218906764
0.639	97.9238123681462
0.64	97.5205490997691
0.641	98.0227302539961
0.642	98.9444198260856
0.643	99.2546786783207
0.644	98.5476719435283
0.645	97.6744808650319
0.646	97.5993595863661
0.647	98.3156492813717
0.648	98.9938943372989
0.649	98.7742438030776
0.65	97.8994204837043
0.651	97.3649145779989
0.652	97.6782484082136
0.653	98.5344471493308
0.654	98.9701269035477
0.655	98.4102687684361
0.656	97.5430335867897
0.657	97.3719782808469
0.658	98.0724245409671
0.659	98.9364368334715
0.66	98.9946524206224
0.661	98.1748920334991
0.662	97.462014167642
0.663	97.6169700639162
0.664	98.4564714489861
0.665	99.0322445328412
0.666	98.6144119842098
0.667	97.7571409623557
0.668	97.4454035678473
0.669	97.9957506006894
0.67	98.8664833407116
0.671	99.068041335247
0.672	98.3115094301536
0.673	97.5165354249398
0.674	97.5929448128586
0.675	98.4427523724625
0.676	99.1713407227033
0.677	98.9713663707821
0.678	98.1087473699264
0.679	97.6107176511001
0.68	98.0020023556636
0.681	98.848550828684
0.682	99.1340681171707
0.683	98.4392351633757
0.684	97.6329376231259
0.685	97.5778055558945
0.686	98.3224481770995
0.687	99.0750074283127
0.688000000000001	98.9314635092541
0.689000000000001	98.0429527554933
0.690000000000001	97.4258320604152
0.691000000000001	97.7376331560257
0.692000000000001	98.6155832213423
0.693000000000001	99.0598645228575
0.694000000000001	98.5483601866926
0.695000000000001	97.7221987254685
0.696000000000001	97.5035708647088
0.697000000000001	98.1058873778369
0.698000000000001	98.8696882217952
0.699000000000001	98.8430572602459
0.700000000000001	98.0147535946556
0.701000000000001	97.3381675649628
0.702000000000001	97.5186358109649
0.703000000000001	98.3829987010408
0.704000000000001	98.9889896018052
0.705000000000001	98.5959530229425
0.706000000000001	97.6863229425964
0.707000000000001	97.3180245080341
0.708000000000001	97.8555899261546
0.709000000000001	98.7526429706499
0.710000000000001	99.0038476522419
0.711000000000001	98.3375310135364
0.712000000000001	97.6091076588688
0.713000000000001	97.6328715798473
0.714000000000001	98.4142352632435
0.715000000000001	99.1064700104677
0.716000000000001	98.9020002579378
0.717000000000001	98.1037915937262
0.718000000000001	97.6371874587143
0.719000000000001	98.0261347280607
0.720000000000001	98.9136254540933
0.721000000000001	99.2707161727618
0.722000000000001	98.5939181238577
0.723000000000001	97.7241499396116
0.724000000000001	97.6345318911503
0.725000000000001	98.3486724961386
0.726000000000001	99.1096806923182
0.727000000000001	98.9922529615565
0.728000000000001	98.0999106133653
0.729000000000001	97.4975028780358
0.730000000000001	97.7908488289291
0.731000000000001	98.6135878588935
0.732000000000001	99.0034919978609
0.733000000000001	98.4152838919741
0.734000000000001	97.5403174678543
0.735000000000001	97.2852265536818
0.736000000000001	97.8630670604804
0.737000000000001	98.6648741299661
0.738000000000001	98.7249066967956
0.739000000000001	97.907887644309
0.740000000000001	97.1840365180874
0.741000000000001	97.3264368242267
0.742000000000001	98.1867708246812
0.743000000000001	98.8828611084773
0.744000000000001	98.6317426158997
0.745000000000001	97.829905259646
0.746000000000001	97.4482393038322
0.747000000000001	97.9750885413598
0.748000000000001	98.9167922603049
0.749000000000001	99.2149894953313
0.750000000000001	98.5326078309888
0.751000000000001	97.7336518522623
0.752000000000001	97.7075036528216
0.753000000000001	98.4586213897561
0.754000000000001	99.1778304056858
0.755000000000001	98.9734420479271
0.756000000000001	98.0563842781017
0.757000000000001	97.5121688755618
0.758000000000001	97.8705356920167
0.759000000000001	98.7307715785394
0.760000000000001	99.1282387956025
0.761000000000001	98.5693834479536
0.762000000000001	97.7801470295123
0.763000000000001	97.6395869375095
0.764000000000001	98.3236080024904
0.765000000000001	99.1012899964764
0.766000000000001	98.9890438477566
0.767000000000001	98.1420805946717
0.768000000000001	97.5247663930615
0.769000000000001	97.7289741561634
0.770000000000001	98.5296684194982
0.771000000000001	98.9894705762851
0.772000000000001	98.4463889017475
0.773000000000001	97.5495511264953
0.774000000000001	97.3204587996564
0.775000000000001	97.92546685934
0.776000000000001	98.7540767592921
0.777000000000001	98.889323230906
0.778000000000001	98.126818048074
0.779000000000001	97.3820554174446
0.780000000000001	97.4665657498638
0.781000000000001	98.2827067898002
0.782000000000001	98.928764247445
0.783000000000001	98.588655144017
0.784000000000001	97.7063402746854
0.785000000000001	97.286642244501
0.786000000000001	97.7290792700368
0.787000000000001	98.6074589677349
0.788000000000001	98.9474702794831
0.789000000000001	98.2681200468376
0.790000000000001	97.4314910818456
0.791000000000001	97.3828567284215
0.792000000000001	98.1503411582836
0.793000000000001	98.9760835696141
0.794000000000001	98.9475859912544
0.795000000000001	98.1250938497166
0.796000000000001	97.5262265684261
0.797000000000001	97.8420383888926
0.798000000000001	98.7612604052752
0.799000000000001	99.2682112957575
0.800000000000001	98.7231456107762
0.801000000000001	97.8391335832955
0.802000000000001	97.6152653180836
0.803000000000001	98.2315036781689
0.804000000000001	99.0213534317095
0.805000000000001	99.0164712017362
0.806000000000001	98.1479697388898
0.807000000000001	97.4732485061253
0.808000000000001	97.686994585113
0.809000000000001	98.5336457174711
0.810000000000001	99.0999409973022
0.811000000000001	98.6756605772201
0.812000000000001	97.7998814892605
0.813000000000001	97.4442973877729
0.814000000000001	97.9684856116394
0.815000000000001	98.8070929567488
0.816000000000001	98.9370114627576
0.817000000000001	98.1300937662438
0.818000000000001	97.322055203614
0.819000000000001	97.3414243875606
0.820000000000001	98.1041121226245
0.821000000000001	98.7967725720924
0.822000000000001	98.5496479924501
0.823000000000001	97.6278881904408
0.824000000000001	97.1194911691582
0.825000000000001	97.5447997520657
0.826000000000001	98.4823437478138
0.827000000000001	98.9428408144515
0.828000000000001	98.4106894491426
0.829000000000001	97.5834132507547
0.830000000000001	97.4403145142271
0.831000000000001	98.1731528924833
0.832000000000001	99.0359725158382
0.833000000000001	99.0784694644037
0.834000000000001	98.2585630988531
0.835000000000001	97.6067290163085
0.836000000000001	97.8417835328329
0.837000000000001	98.6859685473175
0.838000000000001	99.2248662375651
0.839000000000001	98.7943257079242
0.840000000000001	97.9651924052691
0.841000000000001	97.7046174050114
0.842000000000001	98.2896402586854
0.843000000000001	99.1204107124137
0.844000000000001	99.221150107196
0.845000000000001	98.4157575491426
0.846000000000001	97.672258660851
0.847000000000001	97.7940248433548
0.848000000000001	98.6096822740984
0.849000000000001	99.1787750786052
0.850000000000001	98.7438094222936
0.851000000000001	97.7810054482699
0.852000000000001	97.3638593966991
0.853000000000001	97.8406211098364
0.854000000000001	98.6475909408143
0.855000000000001	98.821678698144
0.856000000000001	98.0368542207389
0.857000000000001	97.2146008576604
0.858000000000001	97.192218471894
0.859000000000001	97.9376176586198
0.860000000000001	98.6629872722328
0.861000000000001	98.5334403578761
0.862000000000001	97.686055209157
0.863000000000001	97.1180569741809
0.864000000000001	97.4946580898769
0.865000000000001	98.456422437602
0.866000000000001	98.9896187949132
0.867000000000001	98.4774852155471
0.868000000000001	97.6200215504423
0.869000000000001	97.4340863810464
0.870000000000001	98.0909860770624
0.871000000000001	98.930207301803
0.872000000000001	98.9853072114274
0.873000000000001	98.1883402070044
0.874000000000001	97.5132711751882
0.875000000000001	97.6793804213276
0.876000000000001	98.5395843600004
0.877000000000001	99.1587597094643
0.878000000000001	98.8207247682285
0.879000000000001	97.9947716153129
0.880000000000001	97.6795113509568
0.881000000000001	98.2488588758027
0.882000000000001	99.1232586183745
0.883000000000001	99.2944743933141
0.884000000000001	98.499642403817
0.885000000000001	97.6813465128048
0.886000000000001	97.7225761386181
0.887000000000001	98.5026547854504
0.888000000000001	99.1290794279729
0.889000000000001	98.7910727073357
0.890000000000001	97.9053711628819
0.891000000000001	97.4846870243839
0.892000000000001	97.9030749041133
0.893000000000001	98.7308420409755
0.894000000000001	98.9806625823992
0.895000000000001	98.2552710379054
0.896000000000001	97.3951954027137
0.897000000000001	97.3221788727601
0.898000000000001	98.0668640735384
0.899000000000001	98.8308567117142
0.900000000000001	98.7468036382343
0.901000000000001	97.9082820689171
0.902000000000001	97.2887407653967
0.903000000000001	97.5565903091497
0.904000000000001	98.4378653606017
0.905000000000001	98.9501085008862
0.906000000000001	98.4511797541544
0.907000000000001	97.6115576851692
0.908000000000001	97.3907119009552
0.909000000000001	98.0351006262596
0.910000000000001	98.8942255647648
0.911000000000001	98.9808919542197
0.912000000000001	98.1720245247233
0.913000000000001	97.4488269505344
0.914000000000001	97.6287184398
0.915000000000001	98.51021600111
0.916000000000001	99.1728728363972
0.917000000000001	98.8756871742287
0.918000000000001	98.0477540353887
0.919000000000001	97.6710580491595
0.920000000000001	98.1437364873618
0.921000000000001	98.9842859584959
0.922000000000001	99.1655673658794
0.923000000000001	98.4128396128303
0.924000000000001	97.6577458656088
0.925000000000001	97.6878870239983
0.926000000000001	98.4637508241681
0.927000000000001	99.1398242864818
0.928000000000001	98.9067498852147
0.929000000000001	98.0309289186658
0.930000000000001	97.506945236866
0.931000000000001	97.9208148122053
0.932000000000001	98.8113571833355
0.933000000000001	99.1393331450524
0.934000000000001	98.4591151359474
0.935000000000001	97.5912913601086
0.936000000000001	97.4789227210017
0.937000000000001	98.1445659646808
0.938000000000001	98.8468253050625
0.939000000000001	98.6951487997245
0.940000000000001	97.8532091580594
0.941000000000001	97.2744508590666
