"Time [s]"	"Moving1.Speed [rpm]"
0.576	1478.39468272959
0.577	1473.61687397541
0.578	1467.23491393802
0.579	1466.39291871218
0.58	1471.64763315204
0.581	1477.50881513547
0.582	1476.85111105963
0.583	1470.15976719007
0.584	1465.28599178378
0.585	1467.22277846616
0.586	1473.68276857833
0.587	1477.40588927507
0.588	1474.11417253712
0.589	1467.9489740799
0.59	1465.8722311752
0.591	1470.48156518861
0.592	1477.03715965764
0.593	1477.96369276565
0.594	1471.93714828772
0.595	1466.28562439185
0.596	1467.20525650016
0.597	1473.41498590353
0.598	1478.16729247636
0.599	1475.51948953086
0.6	1468.88096883132
0.601	1465.93385961285
0.602	1469.5462229011
0.603	1476.09798759554
0.604	1477.94571698037
0.605	1472.47449188223
0.606	1466.33886158798
0.607	1466.30940821354
0.608	1472.26916096361
0.609	1477.8930033189
0.61	1476.85734307319
0.611	1470.35498330749
0.612	1466.13460934621
0.613	1468.77907455357
0.614	1475.19833141646
0.615	1478.20154489021
0.616	1473.74787779763
0.617	1467.20198997462
0.618	1465.7183256665
0.619	1470.72959803061
0.62	1476.74524530822
0.621	1476.52669245291
0.622	1470.15109582842
0.623	1465.26079577418
0.624	1467.25434884988
0.625	1474.01538574087
0.626	1478.37265696652
0.627	1475.39103759317
0.628	1469.09097859734
0.629	1466.77761011434
0.63	1470.82392894404
0.631	1476.84828842838
0.632	1477.51762997729
0.633	1471.61592632872
0.634	1466.0805081581
0.635	1466.53941330267
0.636	1472.56625755857
0.637	1477.53133558626
0.638	1475.56969609597
0.639	1469.38317892472
0.64	1466.35450001417
0.641	1470.12514140877
0.642	1477.02062725849
0.643	1479.33455283586
0.644	1474.05637000456
0.645	1467.51133074052
0.646	1466.94689194645
0.647	1472.32007311797
0.648	1477.3898534423
0.649	1475.74990544106
0.65	1469.20016288385
0.651	1465.1839441196
0.652	1467.53963321494
0.653	1473.95745977259
0.654	1477.21248960805
0.655	1473.02838694717
0.656	1466.52353274025
0.657	1465.23709178751
0.658	1470.49774663752
0.659	1476.96104187399
0.66	1477.39551026828
0.661	1471.26574477985
0.662	1465.91435767643
0.663	1467.07923128858
0.664	1473.37413274484
0.665	1477.67599585479
0.666	1474.55542761504
0.667	1468.13216319716
0.668	1465.78943334301
0.669	1469.92280978561
0.67	1476.43880327164
0.671	1477.94303663894
0.672	1472.28907474559
0.673	1466.32432416528
0.674	1466.89868319423
0.675	1473.27147805711
0.676	1478.71336999371
0.677	1477.22173962522
0.678	1470.77003364239
0.679	1467.03224697906
0.68	1469.96969677112
0.681	1476.30489814836
0.682	1478.43546369857
0.683	1473.24515895291
0.684	1467.19921409792
0.685	1466.78490131446
0.686	1472.37098046422
0.687	1477.99499743084
0.688000000000001	1476.92391956261
0.689000000000001	1470.27678008798
0.690000000000001	1465.64222706988
0.691000000000001	1467.98567023218
0.692000000000001	1474.5641841898
0.693000000000001	1477.88204263854
0.694000000000001	1474.06151729738
0.695000000000001	1467.8697557337
0.696000000000001	1466.22684899444
0.697000000000001	1470.74859609768
0.698000000000001	1476.4627333857
0.699000000000001	1476.26387430628
0.700000000000001	1470.06532402771
0.701000000000001	1464.98268072813
0.702000000000001	1466.34011548991
0.703000000000001	1472.82428036824
0.704000000000001	1477.35325372947
0.705000000000001	1474.41741515408
0.706000000000001	1467.60028875772
0.707000000000001	1464.83109190596
0.708000000000001	1468.87123820148
0.709000000000001	1475.58853154345
0.710000000000001	1477.46412346166
0.711000000000001	1472.48390828224
0.712000000000001	1467.0201483063
0.713000000000001	1467.1987178583
0.714000000000001	1473.05807236846
0.715000000000001	1478.22965725591
0.716000000000001	1476.70397830527
0.717000000000001	1470.73288660214
0.718000000000001	1467.23114639318
0.719000000000001	1470.15067099485
0.720000000000001	1476.79076355194
0.721000000000001	1479.45406287661
0.722000000000001	1474.40219999546
0.723000000000001	1467.88441010071
0.724000000000001	1467.21119314567
0.725000000000001	1472.56732093772
0.726000000000001	1478.25360163962
0.727000000000001	1477.3776054045
0.728000000000001	1470.70379526016
0.729000000000001	1466.18122408384
0.730000000000001	1468.38525641027
0.731000000000001	1474.54926613736
0.732000000000001	1477.46146969076
0.733000000000001	1473.06592025194
0.734000000000001	1466.50311467491
0.735000000000001	1464.5842336693
0.736000000000001	1468.92735527036
0.737000000000001	1474.93265297609
0.738000000000001	1475.38129556193
0.739000000000001	1469.26369586858
0.740000000000001	1463.82235083523
0.741000000000001	1464.89440163759
0.742000000000001	1471.35475088705
0.743000000000001	1476.56108824471
0.744000000000001	1474.68499211702
0.745000000000001	1468.6784544071
0.746000000000001	1465.81076098624
0.747000000000001	1469.76783758923
0.748000000000001	1476.81440373655
0.749000000000001	1479.03875090891
0.750000000000001	1473.94370270731
0.751000000000001	1467.95577102036
0.752000000000001	1467.75938539841
0.753000000000001	1473.39021929445
0.754000000000001	1478.76175203601
0.755000000000001	1477.23723006169
0.756000000000001	1470.37748788467
0.757000000000001	1466.29149460866
0.758000000000001	1468.98340638439
0.759000000000001	1475.42511838542
0.760000000000001	1478.39199527951
0.761000000000001	1474.2187392327
0.762000000000001	1468.30490740716
0.763000000000001	1467.24917522259
0.764000000000001	1472.37966458593
0.765000000000001	1478.19102531611
0.766000000000001	1477.3536585241
0.767000000000001	1471.01986531337
0.768000000000001	1466.38620605048
0.769000000000001	1467.92064119037
0.770000000000001	1473.9217172983
0.771000000000001	1477.35684285768
0.772000000000001	1473.29868953418
0.773000000000001	1466.57252632465
0.774000000000001	1464.84941227248
