"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0.0910000000000001	16099.8838834074	-138.771225645647	-56.9235604034484	1.31777860558843	-7493.28216583113	439.259794402997	415.62343091833	-0.243504226114063	-8606.60171757627	-300.488568757351	-335.311250049338	-1.08342067362971
0.0920000000000001	12347.457576061	-263.958556849107	-179.069093515216	1.13870951207321	-2697.85651242115	446.613049974276	426.536164813676	0.183031938699612	-9649.60106363981	-182.654493125168	-226.908898805312	-1.31032957243503
0.0930000000000001	8795.36993852748	-363.307785400768	-299.814579657667	0.838894932415548	3027.12981507339	410.248708477978	396.078423026093	0.579110361725705	-11822.4997536009	-46.940923077209	-97.9318742726358	-1.40826144670766
0.0940000000000001	6707.64975721061	-427.093916603218	-390.88843646641	0.448006495949138	7387.86070546956	333.726365025027	345.249810860338	0.924360172586043	-14095.5104626802	93.3675515781926	43.1723879906145	-1.36508905871705
0.0950000000000001	5627.84758039597	-449.073119510249	-433.852736448746	0.0141537595003921	9244.21308087225	224.536559755117	272.336205064515	1.19669637765056	-14872.0606612682	224.536559755134	177.866925324376	-1.18722213339267
0.0960000000000001	4097.61980630694	-427.093916603212	-435.929544957552	-0.42177578545716	8813.79521147018	93.3675515781733	159.570920321298	1.35626729797186	-12911.4150177771	333.726365025039	275.985348174422	-0.911236785218248
0.0970000000000001	1294.4860906579	-363.307785400759	-392.113966101252	-0.813889751558412	7559.22319395792	-46.9409230772254	19.0430950754521	1.37531039304731	-8853.70928461582	410.248708477985	346.273045732911	-0.564963739485337
0.0980000000000001	-2538.50159047437	-263.958556849091	-296.108199143599	-1.10999795070201	6702.92947369049	-182.654493125186	-117.521174385951	1.25778921866136	-4164.42788321612	446.613049974277	402.656784644927	-0.162306954840409
0.0990000000000001	-5937.89573905017	-138.77122564563	-176.092800260598	-1.28609075096261	6579.52108868067	-300.488568757364	-242.858715036769	1.01493050362459	-641.625349630496	439.259794402994	430.607566804283	0.268300611963874
0.1	-7362.04871688369	9.02389274415327E-12	-57.0902681603283	-1.34318101912294	6237.79028306807	-388.908729652606	-348.663459547535	0.666267044077053	1124.25843381562	388.908729652597	408.682129608528	0.676982741572402
0.101	-6368.34561171696	138.771225645647	61.499436665253	-1.28168158245768	4375.29502086819	-439.259794402997	-414.931381966739	0.251335662110315	1993.05059084877	300.488568757351	337.298109288637	1.01428085086104
0.102	-3872.66869784586	263.958556849108	188.589263558385	-1.0930923188993	673.300676415198	-446.613049974275	-427.02727899384	-0.175691616883525	3199.36802143067	182.654493125168	234.204735577758	1.2484855864388
0.103	-1481.26194800996	363.30778540077	308.592157436516	-0.784500161462784	-3671.82148484247	-410.248708477977	-399.63454247192	-0.575326159355446	5153.08343285243	46.9409230772074	107.057053425627	1.35554263986442
0.104	-47.8257866222476	427.093916603218	394.929280134222	-0.389570881328562	-6904.76408766741	-333.726365025028	-349.595700997401	-0.924921860352847	6952.58987428966	-93.3675515781894	-34.1091849300221	1.3214334549344
0.105	836.584218745792	449.073119510249	434.989863351113	0.0454189820225515	-8095.06074187716	-224.536559755117	-274.214859845496	-1.19913672019834	7258.47652313137	-224.536559755132	-168.733909116136	1.15269954581827
0.106	2297.2864309446	427.093916603212	434.386901317104	0.479805883339655	-7614.67093624396	-93.3675515781718	-159.54458933809	-1.35868130953643	5317.38450529935	-333.72636502504	-271.849407859521	0.880850137958744
0.107	5089.43157486003	363.307785400757	386.237747525209	0.866043630864864	-6755.67088177894	46.9409230772285	-20.0278445808255	-1.37870915411726	1666.23930691891	-410.248708477985	-348.710103648174	0.53214003431057
0.108	8747.9456776266	263.958556849092	288.721089270905	1.15476472013577	-6507.70772055162	182.654493125184	115.52693612582	-1.26318221799144	-2240.23795707498	-446.613049974277	-410.405339254619	0.121734695055951
0.109	11670.3717089598	138.771225645629	172.6314721279	1.32739619226367	-6926.00060904605	300.488568757365	242.511675267058	-1.02067054272438	-4744.37109991375	-439.259794402994	-438.462356925657	-0.316727661869707
0.11	12522.9726841378	-1.05444541986799E-11	57.3279224580898	1.38472411472176	-6953.57252280483	388.908729652607	350.256312283486	-0.670414230440894	-5569.40016133299	-388.908729652597	-413.616903862642	-0.730344565732349
0.111	10982.9251728317	-138.77122564565	-59.1403112413236	1.32558380348044	-5286.41864336662	439.259794402999	417.559372227041	-0.252854858213853	-5696.50652946511	-300.488568757349	-339.282934331832	-1.06962750006418
0.112	8082.5239783167	-263.95855684911	-185.060370560049	1.14052343292039	-1607.50627815985	446.613049974275	430.463393778416	0.177608535564564	-6475.01770015685	-182.654493125166	-232.54350210404	-1.30217100216822
0.113	5441.84111555291	-363.307785400769	-305.831213411233	0.834692219509154	2814.46781828691	410.248708477977	402.504366239089	0.580112901803653	-8256.30893383982	-46.940923077209	-103.783588325934	-1.40595459049415
0.114	4006.63832935028	-427.093916603219	-395.007630029984	0.43968458947917	6101.73802083782	333.726365025023	351.289241301573	0.931402143105227	-10108.3763501881	93.367551578194	37.5196179903416	-1.36843497250381
0.115	3391.41570245272	-449.073119510249	-437.383605291022	0.00230098418814759	7339.33063716207	224.536559755114	275.429635649277	1.2068317787545	-10730.7463396148	224.536559755134	173.433583489887	-1.19500138901393
0.116	2372.62082682153	-427.093916603211	-439.022811573435	-0.436721827385287	6803.79561511507	93.3675515781688	160.458818378449	1.36729059713295	-9176.4164419366	333.726365025041	276.195299365705	-0.91880608964822
0.117	156.115274833578	-363.307785400758	-394.511565146645	-0.831233392531932	5727.10422780879	-46.9409230772284	19.5098573064669	1.38680045443942	-5883.21950264237	410.248708477985	350.490082735154	-0.568316006913066
0.118	-2975.37879211216	-263.958556849089	-298.889732527987	-1.13012312505992	5126.49597615032	-182.65449312519	-117.007961628899	1.26979249281052	-2151.11718403816	446.613049974278	409.151666958883	-0.159164339954183
0.119	-5733.88773541449	-138.771225645628	-179.656844173096	-1.30977996923301	5250.4210646326	-300.488568757366	-243.2792521844	1.02651324062612	483.466670781883	439.259794402994	436.191571127463	0.27702723117328
0.12	-6789.05195192909	1.21076482173521E-11	-59.3308634833771	-1.36911083271639	5206.81965238945	-388.908729652608	-349.746152015092	0.676767088611028	1582.23229953964	388.908729652596	412.969633497052	0.689996864670332
0.121	-5781.69899738156	138.771225645651	61.5235745176885	-1.3075872581987	3801.9439412031	-439.259794402999	-417.165494726157	0.259601593884871	1979.75505617846	300.488568757348	340.620953887396	1.03061781855773
0.122	-3550.68048537995	263.958556849111	190.155798844	-1.1174314593547	740.77007637397	-446.613049974275	-431.00755184788	-0.171405957963009	2809.91040900598	182.654493125165	236.785413609549	1.26740323216728
0.123	-1526.4955864051	363.30778540077	310.629424491044	-0.806802034863658	-2910.98595342099	-410.248708477976	-404.586435682552	-0.575992393645561	4437.48153982609	46.9409230772075	109.136349595474	1.37653958176275
0.124	-457.772842641986	427.093916603219	397.455106689737	-0.409346928173922	-5565.9513966836	-333.726365025025	-353.742238750448	-0.929734632396009	6023.72423932558	-93.3675515781924	-32.2987857388473	1.3442407960239
0.125	57.4262692350459	449.073119510249	438.02076881305	0.0286738406391285	-6440.92587176666	-224.536559755113	-276.547668864232	-1.20628230126024	6383.49960253161	-224.536559755135	-168.305139824555	1.17593565619935
0.126	1064.15318516089	427.093916603212	438.123300630686	0.466797141269814	-5887.85272289098	-93.3675515781703	-160.419765264381	-1.36670206652462	4823.69953773009	-333.726365025039	-273.663966222162	0.902271689977187
0.127	3260.80414840537	363.307785400757	391.451556736294	0.858248698006108	-5044.51064582759	46.94092307723	-20.0164861434908	-1.38671855266811	1783.70649742222	-410.248708477985	-351.906637991827	0.550365051985359
