"Time [s]"	"Pem [kW]"
0.959000000000001	-0.00263251091303741
0.960000000000001	0.547567970970949
0.961000000000001	0.65237670988255
0.962000000000001	0.0244369942224095
0.963000000000001	-0.370246283978929
0.964000000000001	0.113036434943837
0.965000000000001	0.825331290862658
0.966000000000001	0.601792683233042
0.967000000000001	-0.171908500065278
0.968000000000001	-0.493577866254346
0.969000000000001	-0.123817391368654
0.970000000000001	0.327003887273143
0.971000000000001	0.511825298680124
0.972000000000001	-0.108272271797904
0.973000000000001	-0.515238470725963
0.974000000000001	-0.0678339363807778
0.975000000000001	0.575836032642252
0.976000000000001	0.572604972543234
0.977000000000001	-0.248962369416498
0.978000000000001	-0.611276884962363
0.979000000000001	-0.387998386796226
0.980000000000001	0.402641383597147
0.981000000000001	0.451548507349675
0.982000000000001	-0.132841526638522
0.983000000000001	-0.500813396817421
0.984000000000001	-0.131753432065308
0.985000000000001	0.629317995635444
0.986000000000001	0.562118364698248
0.987000000000001	-0.17923519759913
0.988000000000001	-0.526149642248642
0.989000000000001	-0.0670495874159113
0.990000000000001	0.49975618372122
0.991000000000001	0.577735929168473
0.992000000000001	0.053338710921021
0.993000000000001	-0.299008339450357
0.994000000000001	0.0458906123570669
0.995000000000001	0.799808290267098
0.996000000000001	0.699089145327097
0.997000000000001	-0.0863546779859739
0.998000000000001	-0.355030367268386
0.999000000000001	0.0112884563345431
1	0.549578509646852
1.001	0.655963081533596
1.002	0.0256947330336209
1.003	-0.363058046155211
1.004	0.115282522732165
1.005	0.829261530034877
1.006	0.602037660450966
1.007	-0.161366208741087
1.008	-0.497569704279795
1.009	-0.125607892520005
1.01	0.327114688585928
1.011	0.513021937103375
1.012	-0.112959989090011
1.013	-0.52982756007694
1.014	-0.0663840183482709
1.015	0.561152744614867
1.016	0.567650437391042
1.017	-0.247377009117173
1.018	-0.628183531562685
1.019	-0.395310830566578
1.02	0.385870737882713
1.021	0.440868337546435
1.022	-0.14324901178334
1.023	-0.514753389561591
1.024	-0.139540265150559
1.025	0.636847419824385
1.026	0.567624623935679
1.027	-0.16880842407623
1.028	-0.530249568228143
1.029	-0.0581310055986834
1.03	0.507668932539046
1.031	0.579662235276735
1.032	0.055574986074803
1.033	-0.304605067333393
1.034	0.0654132455128954
1.035	0.810572497899283
1.036	0.700143881113036
1.037	-0.0718024943340337
1.038	-0.358950205275922
1.039	0.0230036098661962
1.04	0.550333498653827
1.041	0.661009138056046
1.042	0.025906799015336
1.043	-0.366426443510297
1.044	0.114875930241175
1.045	0.832953029229879
1.046	0.603110582270598
1.047	-0.150906616853668
1.048	-0.500030286534079
1.049	-0.127122527160613
