"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
0.172	1.32170231379425	-1.41639772484673	0.117206200128849
0.173	1.00391720900141	-1.60367796143497	0.629105725894711
0.174	0.584139025098635	-1.60917026385771	1.05907752105692
0.175	0.0629089065772314	-1.44536905411052	1.34661664983878
0.176	-0.470089325054017	-1.11809183726022	1.53947728566342
0.177	-0.964886921410288	-0.683589037865552	1.61546172915161
0.178	-1.34477973913212	-0.20867507411741	1.51775017456552
0.179	-1.5372266425091	0.315215340635906	1.24812374132389
0.18	-1.60423624756923	0.831914866008151	0.821614977584301
0.181	-1.55343304419812	1.26503974657143	0.310931177942581
0.182	-1.34570827542377	1.53428454152505	-0.200236575864731
0.183	-0.962237682944883	1.62836221575234	-0.697014889295049
0.184	-0.458384967483252	1.57292344782227	-1.15515840750876
0.185	0.090049846537491	1.40315885490611	-1.48654671758242
0.186	0.596983138639268	1.08922862484428	-1.64363825481084
0.187	1.03529967697406	0.616622684568302	-1.62953709759923
0.188	1.40720948098163	0.0785900383372479	-1.45272773306346
0.189	1.62604970168295	-0.471673957672195	-1.16636448890198
0.19	1.68096216493312	-0.949090783872273	-0.76904493515672
0.191	1.55887755927335	-1.30429683115274	-0.256592239633116
0.192	1.2721351301565	-1.56013051742272	0.283948436552786
0.193	0.870599476020255	-1.68061313684417	0.793556613607115
0.194	0.402319302028211	-1.64093496572464	1.22389322461401
0.195	-0.102590464160407	-1.4403657258177	1.51176269599475
0.196	-0.605298517865585	-1.07337547589862	1.64880331108771
0.197	-1.0634312580732	-0.603477479237829	1.63982155291663
0.198	-1.42320660783288	-0.0845910485781804	1.48890968028868
0.199	-1.63432892927166	0.446756563031958	1.20996155947791
0.2	-1.69717274214187	0.923543684390093	0.812927264216494
0.201	-1.60706678611427	1.29413830974883	0.325403053467512
0.202	-1.36447313177928	1.54126459016417	-0.203758919426586
0.203	-0.980481589834324	1.65776692750848	-0.712406384442717
0.204	-0.501818210483583	1.6292386736392	-1.1536810175329
0.205	0.0228332619781456	1.45749717093046	-1.47890866418289
0.206	0.541215762170725	1.15309490207287	-1.65295533348676
0.207	0.992996406295986	0.72714204951249	-1.68238174019533
0.208	1.34325263116809	0.220316113467481	-1.55729046099429
0.209	1.56888041558029	-0.312948274488358	-1.27991907042902
0.21	1.66249974634394	-0.813756934585763	-0.86984729803967
0.211	1.60605160827652	-1.2422068792503	-0.379639221337146
0.212	1.40286737464256	-1.53764136126665	0.143753910948793
0.213	1.05480457781468	-1.67382040199145	0.644920130106811
0.214	0.58200040407587	-1.65916453795702	1.07324785058689
0.215	0.0475128168646255	-1.48345980603985	1.40976344441624
0.216	-0.492505327596994	-1.15862464485145	1.62388173326724
0.217	-0.98752772401231	-0.731386921900643	1.68175875854363
0.218	-1.36862233734646	-0.241096658794658	1.56218884868607
0.219	-1.5903908630885	0.295579940809445	1.28855441873293
0.22	-1.67187878473305	0.814920070098831	0.868709836519686
0.221	-1.60665344249135	1.25781422959489	0.360596319753324
0.222	-1.39651165376981	1.55800983969084	-0.175646229391426
0.223	-1.02454330054424	1.68757334943904	-0.678015742325099
0.224	-0.528960131935402	1.6546046028359	-1.12357527425409
0.225	0.0227213146954207	1.45678574599918	-1.48119395295015
0.226	0.572543883470309	1.13443153241982	-1.66898838269567
0.227	1.03766583522382	0.692796026382747	-1.69367317134694
0.228	1.38895169024484	0.156002217714452	-1.54879031424073
0.229	1.62570639896563	-0.401840379258427	-1.23031806426896
0.23	1.70826026553594	-0.91671565829445	-0.798361222347666
0.231	1.6172763554553	-1.32805975633797	-0.310439366353091
0.232	1.36650818680132	-1.57968209220795	0.227559693263468
0.233	0.953136950867954	-1.68926344048958	0.753410170394734
0.234	0.44461167120778	-1.65180822217105	1.20358982992049
0.235	-0.0936028703375265	-1.46738657355582	1.52661601793228
0.236	-0.604044756257846	-1.12435712079623	1.68749410369874
0.237	-1.05681973214051	-0.648390884475931	1.68826170666828
0.238	-1.42764530758295	-0.111719594296463	1.52164809667392
0.239	-1.65119069847906	0.437802102808406	1.21999437556584
0.24	-1.71692488591081	0.939561342919962	0.811672716357836
0.241	-1.6218928998834	1.32887425150284	0.320097377519494
0.242	-1.37179047312802	1.58003658675485	-0.218833303177551
0.243	-0.972480579293525	1.69405369553674	-0.73908604593287
0.244	-0.478413424959072	1.65898655990325	-1.18554687008588
0.245	0.0555568693007715	1.47819940503689	-1.51094792296324
0.246	0.573959561879443	1.15541506067706	-1.68108279100622
0.247	1.02371361737194	0.703618980851561	-1.70422736536839
0.248	1.3828187428055	0.17909845526224	-1.56426576883761
0.249	1.61847068598288	-0.36512378455	-1.26808749629738
0.25	1.70724868277315	-0.870091339801757	-0.845834156885262
0.251	1.63197863412178	-1.28923295632855	-0.359388425436368
0.252	1.40945800905454	-1.56968422621532	0.16127082205209
0.253	1.03503948558584	-1.69623149592598	0.665925986606577
0.254	0.551422179008091	-1.67166405422121	1.11200565778055
0.255	0.0129901593220604	-1.48717949763676	1.46376292069014
0.256	-0.527620233093331	-1.16569990471031	1.66339653381712
0.257	-1.00848314914421	-0.738178902371587	1.70046581887671
0.258	-1.37796410227693	-0.23320080858616	1.57244922784071
0.259	-1.60476518947497	0.313363952572104	1.29299199777736
0.26	-1.69271137148095	0.831997175004752	0.870042679652339
