"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"Br []"	"Bt []"
1	2000000000	380.07732	-0.00607109664313709	1.18301361732953	-1.17591037214409	-0.032313296658283
1	2000000000	380.590938	-0.00667318772796681	1.16925789220165	-1.16860072650062	-0.0230321363095849
1	2000000000	381.104556	-0.00727150939831046	1.15923153486503	-1.16124492177017	-0.017640700588733
1	2000000000	381.618174	-0.00786443908369362	1.15537427802696	-1.15320111194365	0.00473400249784944
1	2000000000	382.131792	-0.00845950080252466	1.1637504484332	-1.16397380477281	0.00265837240936384
1	2000000000	382.64541	-0.00906012897015246	1.18540699158853	-1.1748756158879	0.000775977160232733
1	2000000000	383.159028	-0.00967352096639311	1.18432481237067	-1.18340958687137	-0.152384867551255
1	2000000000	383.672646	-0.0102371113999385	1.02612379151807	-1.01093272637624	-0.0661292735002809
1	2000000000	384.186264	-0.0107117276365113	0.709937146719901	-0.836973976999576	0.0137179121853037
1	2000000000	384.699882	-0.0110297602906314	0.384495738556802	-0.194514448116806	0.240572560908927
1	2000000000	385.2135	-0.0111745512099249	0.368951077612856	-0.369723407137413	0.107891755266299
1	2000000000	385.727118	-0.0114099663114143	0.680275784450439	-0.547367253364806	-0.0154328298417209
1	2000000000	386.240736	-0.011764389904561	1.18606660904121	-1.21639737271631	-0.712452321382956
1	2000000000	386.754354	-0.012364937667899	1.13234918563803	-1.12064717438793	-0.24022605272737
1	2000000000	387.267972	-0.0129140773649333	0.982939111654268	-1.0162807863351	0.211957566756336
1	2000000000	387.78159	-0.0134074756561035	0.789621396715596	-0.903656159945581	0.644027372213744
1	2000000000	388.295208	-0.0135667480696757	0.367942551890169	-0.322622053984262	0.181656552554898
1	2000000000	388.808826	-0.0137547107037711	0.43679168012552	-0.410093840321987	-0.0697031624487815
1	2000000000	389.322444	-0.0139888161199878	0.81390004687904	-0.502278183075385	-0.314636856806116
1	2000000000	389.836062	-0.0144946173116691	1.01927314813537	-1.09020066826042	0.00496630701624484
